file,width,height,total_pixels,background_rgb,background_pixels,area_pixels,pixel_size_m,area_m2,area_km2
data/raw/review/maesuai_10_mask.tif,1024,1024,1048576,"34,97,38",566577,481999,1.0,481999.0,0.481999
data/raw/review/maesuai_11_mask.tif,1024,1024,1048576,"75,181,73",435635,612941,1.0,612941.0,0.612941
data/raw/review/maesuai_12_mask.tif,1024,1024,1048576,"75,181,73",815379,233197,1.0,233197.0,0.233197
data/raw/review/maesuai_13_mask.tif,1024,1024,1048576,"34,97,38",757783,290793,1.0,290793.0,0.290793
data/raw/review/maesuai_14_mask.tif,1024,1024,1048576,"75,181,73",480765,567811,1.0,567811.0,0.567811
data/raw/review/maesuai_15_mask.tif,1024,1024,1048576,"75,181,73",935697,112879,1.0,112879.0,0.112879
data/raw/review/maesuai_16_mask.tif,1024,1024,1048576,"75,181,73",1024297,24279,1.0,24279.0,0.024279
data/raw/review/maesuai_17_mask.tif,1024,1024,1048576,"34,97,38",1007840,40736,1.0,40736.0,0.040736
data/raw/review/maesuai_18_mask.tif,1024,1024,1048576,"34,97,38",911941,136635,1.0,136635.0,0.136635
data/raw/review/maesuai_19_mask.tif,1024,1024,1048576,"75,181,73",546094,502482,1.0,502482.0,0.502482
data/raw/review/maesuai_1_mask.tif,1024,1024,1048576,"0,69,255",1048492,84,1.0,84.0,8.4e-05
data/raw/review/maesuai_20_mask.tif,1024,1024,1048576,"75,181,73",974530,74046,1.0,74046.0,0.074046
data/raw/review/maesuai_21_mask.tif,1024,1024,1048576,"34,97,38",849240,199336,1.0,199336.0,0.199336
data/raw/review/maesuai_22_mask.tif,1024,1024,1048576,"34,97,38",776137,272439,1.0,272439.0,0.272439
data/raw/review/maesuai_23_mask.tif,1024,1024,1048576,"34,97,38",491818,556758,1.0,556758.0,0.556758
data/raw/review/maesuai_24_mask.tif,1024,1024,1048576,"75,181,73",333305,715271,1.0,715271.0,0.715271
data/raw/review/maesuai_25_mask.tif,1024,1024,1048576,"34,97,38",513130,535446,1.0,535446.0,0.535446
data/raw/review/maesuai_26_mask.tif,1024,1024,1048576,"34,97,38",628029,420547,1.0,420547.0,0.420547
data/raw/review/maesuai_27_mask.tif,1024,1024,1048576,"34,97,38",466380,582196,1.0,582196.0,0.582196
data/raw/review/maesuai_28_mask.tif,1024,1024,1048576,"148,148,148",344744,703832,1.0,703832.0,0.703832
data/raw/review/maesuai_29_mask.tif,1024,1024,1048576,"75,181,73",601396,447180,1.0,447180.0,0.44718
